track_name,artist_name,listeners
The Subway,Chappell Roan,127093
SUGAR ON MY TONGUE,"Tyler, The Creator",85839
Ring Ring Ring,"Tyler, The Creator",73306
No One Noticed,The Marías,68918
back to friends,sombr,63458
Golden,HUNTR/X,61967
"Good Luck, Babe!",Chappell Roan,56656
Let Down,Radiohead,54676
I'll Take Care of You (feat. Yebba),"Tyler, The Creator",54325
Creep,Radiohead,53659
Your Idol,SAJA BOYS,51889
Sienna,The Marías,50903
Love Me Not,Ravyn Lenae,50544
505,Arctic Monkeys,50438
Big Poe (feat. Sk8brd),"Tyler, The Creator",49149
Dreams - 2004 Remaster,Fleetwood Mac,48982
Sucka Free,"Tyler, The Creator",48847
Don't You Worry Baby (feat. Madison McFerrin),"Tyler, The Creator",48604
party 4 u,Charli xcx,47895
Duvet,bôa,47183
Manchild,Sabrina Carpenter,46133
undressed,sombr,45774
Illegal,PinkPantheress,45756
Headlock,Imogen Heap,45140
"Lover, You Should've Come Over",Jeff Buckley,45117
Juna,Clairo,44730
Timeless (Feat Playboi Carti),The Weeknd,44577
How It’s Done,HUNTR/X,43415
Iris,The Goo Goo Dolls,43413
Casual,Chappell Roan,43168
luther (with SZA),Kendrick Lamar,42698
Lovers Rock,TV Girl,42563
BIRDS OF A FEATHER,Billie Eilish,42053
Gnarly,KATSEYE,42011
Sparks,Coldplay,41638
Gabriela,KATSEYE,40956
From the Start,Laufey,40859
glOry,JID,40801
Diet Pepsi,Addison Rae,40208
Heavy,The Marías,40162
All I Need,Radiohead,39734
Pain,PinkPantheress,39491
See You Again (feat. Kali Uchis),"Tyler, The Creator",39298
SODA POP,SAJA BOYS,39005
No Surprises,Radiohead,38937
Sextape,Deftones,38933
Ribs,Lorde,38618
Janie,Ethel Cain,37925
Beaches,beabadoobee,37620
So Far So Fake,Pierce the Veil,37578
